Date,Open,High,Low,Close,Adj Close,Volume
2010-05-10,155.800003,157.869995,153.539993,154.835007,144.920486,1827250
2010-05-11,155.000000,156.589996,153.360001,153.830002,143.979843,998470
2010-05-12,154.000000,159.000000,153.440002,156.494995,146.474167,1291230
2010-05-13,158.699997,159.000000,156.000000,157.699997,147.602036,999830
2010-05-14,157.500000,159.990005,156.800003,159.195007,149.001297,2244930
2010-05-17,158.190002,158.899994,155.029999,158.054993,147.934280,1271080
2010-05-18,158.199997,159.500000,155.009995,156.020004,146.029587,1740050
2010-05-19,156.500000,156.500000,154.800003,155.580002,145.617752,1540500
2010-05-20,156.399994,157.979996,154.000000,156.389999,146.375885,1005990
2010-05-21,154.399994,156.000000,152.000000,154.595001,144.695862,2411990
2010-05-24,155.149994,156.500000,152.000000,154.820007,144.906418,3036590
2010-05-25,153.600006,160.904999,153.199997,158.740005,148.575439,5335890
2010-05-26,160.399994,162.059998,155.179993,156.929993,146.881317,6726850
2010-05-27,158.199997,164.899994,157.785004,163.514999,153.044647,6044350
2010-05-28,165.000000,165.000000,162.149994,163.164993,152.717087,1666830
2010-05-31,162.000000,167.399994,160.904999,166.414993,155.758987,1343930
2010-06-01,166.899994,172.559998,165.705002,168.089996,157.326721,3651750
2010-06-02,168.500000,169.865005,165.130005,168.250000,157.476471,2331720
2010-06-03,169.100006,171.434998,169.100006,170.289993,159.385864,1739370
2010-06-04,169.304993,171.750000,169.304993,170.479996,159.563660,665870
2010-06-07,168.199997,170.300003,166.289993,169.434998,158.585587,601010
2010-06-08,168.604996,170.585007,167.500000,168.720001,157.916382,986960
2010-06-09,169.990005,169.990005,166.630005,168.684998,157.883636,1063870
2010-06-10,170.500000,170.994995,168.535004,170.244995,159.343750,1161850
2010-06-11,171.899994,172.414993,166.615005,168.244995,157.471771,2286930
2010-06-14,168.500000,170.789993,166.804993,170.199997,159.301620,1392880
2010-06-15,169.800003,170.500000,168.110001,170.149994,159.254807,804690
2010-06-16,168.600006,170.889999,168.000000,170.279999,159.376480,1175680
2010-06-17,170.589996,172.000000,168.500000,169.875000,158.997421,1508370
2010-06-18,170.199997,172.184998,168.800003,171.335007,160.363937,1151500
2010-06-21,171.699997,176.199997,171.699997,175.449997,164.215408,1726010
2010-06-22,177.300003,178.389999,174.914993,176.164993,164.884659,1914680
2010-06-23,177.500000,180.800003,176.300003,179.925003,168.403885,1348760
2010-06-24,180.500000,182.500000,177.500000,180.979996,169.391342,1986600
2010-06-25,180.699997,181.850006,178.199997,179.065002,167.598984,760880
2010-06-28,177.554993,181.250000,177.500000,179.074997,167.608322,855650
2010-06-29,179.000000,181.000000,175.309998,175.684998,164.435394,924660
2010-06-30,176.500000,179.899994,174.199997,178.509995,167.079498,2114880
2010-07-01,178.000000,178.199997,174.300003,175.264999,164.042297,570070
2010-07-02,175.264999,177.580002,175.000000,175.580002,164.337097,1286100
2010-07-05,174.199997,176.699997,173.529999,174.020004,162.876999,378780
2010-07-06,175.000000,180.860001,173.604996,179.985001,168.460052,2168640
2010-07-07,178.554993,179.884995,176.399994,177.139999,165.797211,667150
2010-07-08,179.000000,179.684998,174.229996,175.279999,164.056320,827260
2010-07-09,175.279999,176.300003,173.500000,174.244995,163.087585,2182320
2010-07-12,174.600006,175.794998,172.800003,174.214996,163.059525,955700
2010-07-13,174.000000,175.699997,172.755005,174.164993,163.012726,1605890
2010-07-14,175.490005,175.695007,173.649994,174.434998,163.265427,1397340
2010-07-15,174.434998,178.000000,173.000000,174.794998,163.602371,3518620
2010-07-16,175.869995,175.955002,173.014999,174.024994,162.881668,1936080
2010-07-19,173.300003,173.300003,169.729996,171.979996,160.967621,3730250
2010-07-20,171.899994,174.309998,170.990005,172.320007,161.285873,2614680
2010-07-21,173.000000,173.000000,171.100006,171.669998,160.677490,3286470
2010-07-22,171.104996,175.250000,171.000000,174.750000,163.560257,710800
2010-07-23,176.000000,176.389999,173.410004,174.050003,162.905106,970690
2010-07-26,175.699997,176.399994,174.000000,175.985001,164.716156,645750
2010-07-27,176.100006,178.000000,176.100006,177.494995,166.129486,1495850
2010-07-28,177.994995,181.360001,177.699997,180.740005,169.166733,4418560
2010-07-29,181.000000,184.000000,176.470001,177.975006,166.578766,3540910
2010-07-30,177.440002,180.494995,175.539993,176.860001,165.535141,1995600
2010-08-02,177.000000,179.399994,176.210007,177.639999,166.265198,743890
2010-08-03,176.554993,179.789993,176.000000,178.934998,167.477295,875070
2010-08-04,178.199997,179.500000,176.115005,177.830002,166.443024,1061300
2010-08-05,176.554993,178.990005,175.350006,176.335007,165.043777,1100790
2010-08-06,175.600006,178.770004,175.600006,177.485001,166.120117,794320
2010-08-09,178.500000,178.800003,176.279999,176.735001,165.418167,469770
2010-08-10,177.244995,177.500000,175.000000,175.479996,164.243515,596950
2010-08-11,175.500000,176.490005,173.369995,174.794998,163.602371,967090
2010-08-12,173.500000,176.190002,172.699997,173.824997,162.694473,457100
2010-08-13,173.975006,175.500000,173.505005,175.089996,163.878510,573930
2010-08-16,175.509995,176.500000,170.500000,171.589996,160.602615,1947360
2010-08-17,171.589996,172.449997,170.005005,170.669998,159.741501,1321090
2010-08-18,171.399994,177.880005,170.119995,176.899994,165.572617,2243880
2010-08-19,178.479996,180.899994,176.014999,179.054993,167.589615,1946970
2010-08-20,180.500000,181.294998,178.395004,179.240005,167.762772,892410
2010-08-23,180.000000,185.699997,176.279999,178.595001,167.159058,792670
2010-08-24,179.050003,180.800003,177.524994,178.755005,167.308807,784710
2010-08-25,179.000000,180.699997,178.000000,178.744995,167.299454,774500
2010-08-26,179.800003,180.300003,175.169998,178.195007,166.784683,1461150
2010-08-27,177.074997,178.300003,175.509995,177.324997,165.970367,1259150
2010-08-30,177.500000,178.399994,174.524994,175.080002,163.869125,857050
2010-08-31,176.000000,178.500000,173.660004,176.240005,164.954865,2370990
2010-09-01,175.000000,176.199997,174.000000,175.054993,163.845734,1677640
2010-09-02,175.199997,176.470001,172.505005,173.324997,162.226501,848250
2010-09-03,173.059998,174.899994,171.500000,172.505005,161.459045,1228880
2010-09-06,172.899994,174.095001,171.649994,172.850006,161.781921,1086470
2010-09-07,173.500000,174.600006,172.000000,172.274994,161.243759,1078460
2010-09-08,174.000000,184.800003,174.000000,175.384995,164.154572,10281660
2010-09-09,177.500000,177.500000,174.100006,174.554993,164.668716,2821520
2010-09-13,175.994995,176.199997,174.000000,175.449997,165.513062,1988480
2010-09-14,175.669998,175.899994,174.250000,174.645004,164.753616,1115330
2010-09-15,174.850006,181.235001,174.505005,180.589996,170.361938,3631770
2010-09-16,181.500000,184.899994,177.600006,183.860001,173.446701,3435260
2010-09-17,185.500000,189.100006,184.509995,187.410004,176.795700,2948770
2010-09-20,189.899994,190.300003,185.199997,187.684998,177.055099,4327330
2010-09-21,186.990005,194.699997,186.005005,193.074997,182.139832,3406180
2010-09-22,194.899994,198.375000,191.470001,192.175003,181.290802,4357790
2010-09-23,194.000000,196.389999,188.100006,188.839996,178.144669,3083340
2010-09-24,189.994995,194.000000,188.100006,192.119995,181.238876,2768870
2010-09-27,194.725006,196.195007,193.710007,194.559998,183.540741,1561010
2010-09-28,193.399994,197.399994,193.399994,197.005005,185.847229,1674770
2010-09-29,197.500000,201.500000,197.500000,200.065002,188.733932,3386350
2010-09-30,199.600006,203.475006,199.600006,202.050003,190.606506,3902690
